包头,x,y,z,,,,,,,状态,休息,采食,活动,爬跨,反刍,其他,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-41,71,-322,,,,,,,250,0,8,0,0,127,0,332.2739833,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,-16,64,-341,25,-7,-19,25,7,19,250,0,8,0,0,127,0,347.3226166,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,14,63,-359,30,-1,-18,30,1,18,250,0,8,0,0,127,0,364.7547121,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,35,79,-388,21,16,-29,21,16,29,250,0,8,0,0,127,0,397.504717,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,44,71,-393,9,-8,-5,9,8,5,250,0,8,0,0,127,0,401.778546,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,25,60,-377,-19,-11,16,19,11,16,250,0,8,0,0,127,0,382.5624132,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,-2,47,-360,-27,-13,17,27,13,17,250,0,8,0,0,127,0,363.060601,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,-16,17,-346,-14,-30,14,14,30,14,250,0,8,0,0,127,0,346.7866779,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,-16,15,-353,0,-2,-7,0,2,7,250,0,8,0,0,127,0,353.6806469,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,-4,39,-348,12,24,5,12,24,5,250,0,8,0,0,127,0,350.2013706,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,17,80,-338,21,41,10,21,41,10,250,0,8,0,0,127,0,347.7542236,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,30,24,-333,13,-56,5,13,56,5,250,0,8,0,0,385,0,335.2088901,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,32,20,-349,2,-4,-16,2,4,16,250,0,8,0,0,385,0,351.0341864,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,35,22,-357,3,2,-8,3,2,8,250,0,8,0,0,385,0,359.3855868,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,35,19,-367,0,-3,-10,0,3,10,250,0,8,0,0,385,0,369.1544392,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,27,22,-365,-8,3,2,8,3,2,250,0,8,0,0,385,0,366.6578787,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,19,28,-361,-8,6,4,8,6,4,250,0,8,0,0,385,0,362.5824044,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
