°üÍ·,x,y,z
2,30,24,-333
2,32,20,-349
2,35,22,-357
2,35,19,-367
2,27,22,-365
2,19,28,-361
2,12,36,-360
2,8,35,-345
2,12,30,-329
2,12,28,-320
2,14,30,-320
2,20,30,-324
2,28,22,-336
2,38,19,-352
2,38,24,-360
2,30,16,-369
2,24,17,-359
2,19,30,-351
2,12,36,-356
2,3,36,-346
2,6,33,-328
2,11,31,-313
2,20,25,-320
2,24,19,-336
2,39,12,-343
3,38,17,-353
3,28,20,-365
3,24,24,-360
3,16,33,-356
3,11,36,-354
3,3,32,-343
3,4,28,-328
3,7,28,-309
3,8,31,-317
3,15,23,-333
3,31,19,-344
3,48,19,-351
3,39,22,-369
3,28,24,-362
3,19,33,-362
3,3,36,-356
3,-2,32,-345
3,3,30,-330
3,3,30,-306
3,7,24,-320
3,19,19,-324
3,31,17,-340
3,35,19,-353
3,35,25,-365
3,24,28,-365
4,20,31,-360
4,8,35,-356
4,-1,35,-345
4,0,28,-332
4,4,27,-317
4,9,31,-308
4,9,28,-324
4,23,23,-335
4,31,24,-348
4,39,31,-361
4,28,25,-369
4,22,28,-362
4,14,35,-362
4,6,38,-354
4,-1,31,-341
4,4,30,-321
4,6,30,-308
4,7,28,-327
4,16,22,-333
4,30,23,-345
4,39,25,-356
4,31,31,-372
4,24,28,-368
4,16,35,-356
4,8,35,-353
5,-5,35,-337
5,-2,30,-328
5,0,30,-320
5,7,31,-313
5,15,30,-322
5,22,24,-338
5,33,20,-346
5,38,27,-360
5,30,28,-369
5,19,33,-361
5,6,38,-356
5,-8,38,-349
5,-8,32,-340
5,0,28,-320
5,6,31,-316
5,8,31,-321
5,23,24,-336
5,36,24,-352
5,39,31,-359
5,40,32,-369
5,22,32,-360
5,3,35,-353
5,-10,39,-353
5,-10,35,-338
5,-8,30,-312
0,7,35,-313
0,12,35,-317
0,23,25,-328
0,38,30,-345
0,41,31,-361
0,28,28,-369
0,9,31,-360
0,1,33,-359
0,-7,35,-354
0,-4,31,-337
0,7,31,-324
0,7,31,-308
0,14,31,-313
0,16,28,-329
0,27,22,-343
0,28,31,-353
0,24,51,-369
0,15,35,-369
0,7,35,-364
0,6,41,-365
0,-4,41,-349
0,0,31,-335
0,7,30,-308
0,15,35,-303
0,3,36,-320
1,8,24,-336
1,30,24,-343
1,35,32,-368
1,28,38,-378
1,11,31,-365
1,8,35,-360
1,12,46,-360
1,3,44,-340
1,-1,40,-317
1,3,39,-308
1,7,35,-316
1,17,31,-340
1,35,24,-345
1,41,31,-360
1,39,44,-377
1,23,56,-360
1,6,63,-360
1,-9,44,-353
1,-5,31,-333
1,-2,31,-313
1,7,31,-314
1,17,31,-320
1,31,33,-343
1,44,40,-346
1,44,49,-365
2,39,56,-368
2,19,56,-360
2,-1,51,-359
2,-13,31,-353
2,-2,22,-329
2,4,32,-312
2,8,39,-313
2,19,44,-324
2,35,39,-340
2,44,35,-351
2,44,40,-365
2,31,51,-372
2,3,44,-362
2,-1,31,-353
2,7,32,-345
2,9,41,-337
2,11,41,-321
2,7,44,-313
2,11,44,-321
2,24,39,-329
4,44,35,-370
4,32,48,-365
4,3,52,-360
4,4,46,-349
4,8,36,-343
4,7,39,-328
4,8,40,-313
4,12,41,-313
4,22,39,-329
4,39,31,-345
4,48,31,-357
4,47,39,-372
4,24,48,-367
4,3,44,-357
4,-1,41,-351
4,7,41,-345
4,7,43,-324
4,7,40,-305
4,15,40,-320
5,28,32,-333
5,48,31,-353
5,54,38,-362
5,44,52,-376
5,15,51,-367
5,-1,40,-359
5,3,33,-349
5,8,39,-340
5,7,44,-319
5,7,41,-306
5,12,40,-324
5,27,36,-340
5,44,35,-345
5,48,35,-361
5,40,43,-375
5,12,48,-362
5,1,39,-356
5,7,36,-349
5,11,46,-336
5,8,47,-319
5,7,47,-312
5,12,44,-324
5,27,33,-336
5,44,33,-348
5,48,31,-359
0,35,30,-372
0,27,31,-377
0,12,47,-365
0,3,56,-343
0,-1,49,-336
0,3,44,-314
0,6,44,-305
0,15,38,-321
0,31,31,-337
0,15,30,-356
0,56,39,-377
0,48,48,-375
0,7,44,-365
0,-4,32,-360
0,1,41,-348
0,7,44,-336
0,7,44,-314
0,9,44,-308
0,15,46,-320
0,30,38,-341
0,48,32,-357
0,51,31,-362
0,25,33,-369
0,15,24,-361
0,22,44,-362
1,1,52,-354
1,-2,55,-341
1,3,48,-320
1,7,44,-313
1,19,35,-316
1,23,28,-336
1,36,30,-351
1,48,25,-359
1,44,40,-377
1,22,51,-370
1,-5,44,-365
1,1,39,-352
1,9,44,-338
1,1,46,-327
1,-2,40,-311
1,4,44,-306
1,9,44,-317
1,24,40,-328
1,44,27,-343
1,56,30,-361
1,44,48,-376
1,-9,56,-369
1,-13,44,-364
1,12,41,-353
1,17,48,-344
2,12,41,-322
2,14,40,-304
2,15,44,-313
2,14,39,-328
2,31,39,-336
2,44,36,-354
2,47,41,-369
2,39,51,-372
2,-9,48,-367
2,-5,39,-357
2,19,44,-349
2,16,48,-330
2,3,43,-306
2,1,39,-308
2,12,43,-320
2,31,48,-336
2,51,56,-349
2,55,60,-369
2,39,63,-368
2,19,62,-365
2,-1,51,-365
2,-16,40,-356
2,-4,32,-328
2,3,36,-305
2,12,41,-308
3,28,48,-328
3,44,57,-340
3,55,60,-357
3,48,63,-372
3,35,56,-365
3,15,51,-361
3,-8,46,-356
3,-5,33,-345
3,14,39,-329
3,7,48,-308
3,7,54,-311
3,19,55,-327
3,36,56,-333
3,49,59,-349
3,51,55,-368
3,39,57,-375
3,28,56,-372
3,-8,49,-364
3,-2,38,-353
3,16,46,-336
4,40,64,-372
4,28,63,-365
4,9,56,-360
4,-2,41,-351
4,-4,35,-333
4,0,41,-312
4,8,54,-306
4,22,63,-324
4,35,63,-336
4,48,63,-345
4,51,54,-365
4,44,60,-372
4,31,55,-365
4,12,56,-361
4,-1,49,-349
4,-2,44,-335
4,-1,44,-327
4,7,51,-317
4,19,63,-314
4,35,67,-327
4,40,60,-335
4,48,49,-351
4,46,49,-365
5,38,56,-373
5,27,55,-367
5,12,59,-359
5,4,49,-348
5,3,48,-332
5,4,47,-324
5,12,52,-304
5,19,59,-320
5,31,56,-336
5,44,49,-345
5,46,47,-353
5,38,55,-368
5,24,63,-375
5,17,62,-360
5,7,56,-349
5,3,48,-343
5,-1,47,-324
5,6,48,-309
5,14,51,-313
5,24,56,-330
5,35,56,-340
5,49,51,-353
5,47,55,-365
5,40,62,-369
5,22,62,-360
0,6,67,-351
0,7,63,-346
0,1,46,-329
0,3,38,-313
0,9,36,-308
0,25,51,-330
0,36,67,-343
0,49,63,-353
0,51,64,-368
0,40,59,-375
0,19,51,-362
0,0,56,-356
0,-4,54,-353
0,-1,39,-336
0,7,32,-304
0,9,35,-308
0,24,49,-335
0,31,64,-346
0,46,71,-348
0,51,67,-362
0,35,60,-372
0,19,48,-365
0,3,51,-353
0,-5,56,-346
0,6,51,-345
1,4,44,-322
1,7,43,-308
1,19,48,-313
1,25,60,-337
1,38,67,-344
1,44,62,-354
1,46,60,-381
1,32,56,-373
1,12,56,-353
1,-1,60,-349
1,-5,51,-340
1,-1,44,-328
1,7,36,-317
1,16,41,-305
1,28,47,-314
1,35,60,-340
1,46,60,-353
1,44,57,-369
1,31,56,-377
1,16,55,-365
1,-1,56,-353
1,-1,48,-353
1,6,48,-328
1,3,44,-314
1,7,44,-319
2,24,51,-320
2,32,60,-329
2,39,63,-344
2,35,57,-360
2,30,55,-376
2,28,54,-368
2,17,51,-359
2,6,57,-349
2,-1,55,-338
2,-2,44,-328
2,1,39,-312
2,12,44,-311
2,24,56,-327
2,35,60,-340
2,46,59,-357
2,41,56,-377
2,35,57,-372
2,19,56,-359
2,3,60,-352
2,-10,54,-346
2,-7,46,-329
2,0,39,-316
2,12,44,-305
2,23,54,-322
2,31,60,-337
3,39,60,-343
3,39,54,-361
3,28,51,-373
3,16,54,-365
3,4,56,-354
3,0,63,-351
3,-1,51,-338
3,3,40,-321
3,6,41,-306
3,12,51,-313
3,22,51,-330
3,30,57,-340
3,32,55,-353
3,33,48,-365
3,28,60,-372
3,22,63,-368
3,15,56,-356
3,6,56,-345
3,-2,48,-333
3,-4,44,-324
3,3,44,-313
3,15,48,-312
3,28,52,-328
3,36,51,-336
3,44,49,-349
4,39,48,-364
4,28,63,-377
4,19,63,-368
4,12,54,-364
4,6,41,-345
4,7,35,-328
4,7,41,-325
4,12,48,-317
4,23,55,-309
4,35,56,-328
4,41,56,-329
4,49,49,-345
4,47,51,-362
4,39,51,-376
4,30,43,-372
4,22,48,-360
4,17,44,-349
4,16,48,-333
4,17,49,-329
4,19,54,-320
4,28,52,-317
4,39,44,-328
4,48,39,-345
4,49,43,-354
4,51,52,-370
5,47,62,-369
5,35,59,-364
5,24,47,-353
5,15,31,-340
5,14,32,-330
5,14,38,-313
5,19,44,-312
5,35,44,-320
5,51,48,-330
5,63,55,-345
5,68,63,-357
5,60,70,-360
5,47,59,-359
5,28,36,-361
5,15,19,-356
5,27,16,-336
5,31,32,-329
5,31,49,-317
5,38,59,-320
5,48,56,-337
5,64,56,-356
5,71,67,-351
5,73,65,-352
5,63,67,-353
5,48,52,-361
0,39,35,-361
0,35,24,-365
0,38,39,-345
0,35,56,-322
0,38,68,-316
0,46,71,-317
0,51,63,-324
0,56,54,-320
0,60,49,-332
0,79,44,-359
0,71,41,-353
0,64,57,-348
0,51,64,-340
0,35,67,-328
0,22,76,-344
0,25,73,-365
0,49,59,-364
0,78,47,-365
0,92,24,-361
0,95,7,-370
0,87,3,-365
0,72,3,-351
0,57,7,-341
0,51,32,-346
0,39,79,-346
1,46,96,-328
1,48,79,-329
1,55,67,-333
1,63,48,-338
1,63,28,-345
1,60,9,-333
1,63,-7,-338
1,55,-5,-325
1,49,12,-333
1,51,40,-336
1,49,62,-338
1,48,83,-349
1,48,78,-345
1,48,71,-353
1,54,63,-360
1,57,54,-356
1,51,56,-367
1,41,54,-375
1,19,41,-356
1,19,36,-324
1,25,28,-329
1,39,27,-351
1,59,31,-345
1,63,41,-332
1,60,44,-324
2,47,46,-333
2,31,48,-319
2,28,47,-324
2,38,48,-351
2,47,54,-356
2,54,57,-346
2,62,63,-346
2,60,54,-346
2,44,33,-340
2,40,19,-330
2,39,25,-352
2,39,46,-349
2,32,62,-328
2,39,60,-345
2,51,39,-362
2,63,14,-369
2,68,-7,-372
2,67,-7,-360
2,55,16,-359
2,43,41,-353
2,28,60,-332
2,15,63,-303
2,15,56,-305
2,33,41,-345
2,60,43,-365
3,78,47,-346
3,86,60,-332
3,79,59,-336
3,55,39,-346
3,35,19,-330
3,24,3,-321
3,25,-2,-313
3,43,7,-329
3,60,30,-348
3,70,48,-353
3,88,70,-369
3,91,88,-353
3,76,88,-359
3,54,71,-365
3,30,48,-362
3,-12,27,-353
3,-2,15,-333
3,25,11,-353
3,49,11,-349
3,67,27,-349
3,79,48,-370
3,84,70,-328
3,83,65,-336
3,59,56,-333
3,25,48,-306
4,17,39,-298
4,28,40,-353
4,41,52,-356
4,57,56,-346
4,70,40,-359
4,56,32,-356
4,39,33,-349
4,30,49,-351
4,27,63,-349
4,23,71,-329
4,28,63,-322
4,41,55,-344
4,62,38,-354
4,71,28,-352
4,68,24,-360
4,51,24,-354
4,35,30,-345
